rho,c_switch,mi_composite,mi_decomp,mi_gap,oracle_cost,always_a_cost,always_b_cost,max_possible_gap,policy_gap,policy_gap_stderr,policy_gap_frac_of_max,hop2_burst_length
0.54,0.05,0.3127466475744917,0.36150027026112375,0.048753622686632025,0.04401038416259434,0.08,0.1941130805809513,0.03598961583740566,0.0,1.7991267463384316e-18,0.0,20.0
0.54,0.1,0.3127466475744917,0.36150027026112375,0.048753622686632025,0.0454360885168059,0.08,0.1941130805809513,0.0345639114831941,0.0,1.7991267463384316e-18,0.0,20.0
0.54,0.2,0.3127466475744917,0.36150027026112375,0.048753622686632025,0.04828749722522904,0.08,0.1941130805809513,0.03171250277477096,0.0,1.7991267463384316e-18,0.0,20.0
0.72,0.05,0.3142284525343052,0.36135457678352245,0.04712612424921725,0.043519894483089,0.08000000000000002,0.1938054420794819,0.03648010551691101,0.0,1.7991267463384316e-18,0.0,20.0
0.72,0.1,0.3142284525343052,0.36135457678352245,0.04712612424921725,0.04494661132932963,0.08000000000000002,0.1938054420794819,0.035053388670670385,0.0,1.7991267463384316e-18,0.0,20.0
0.72,0.2,0.3142284525343052,0.36135457678352245,0.04712612424921725,0.0478000450218109,0.08000000000000002,0.1938054420794819,0.032199954978189116,0.0,1.7991267463384316e-18,0.0,20.0
0.9,0.05,0.315739734693674,0.3611661262933241,0.04542639159965012,0.043022380554675145,0.07999999999999999,0.193491496752364,0.03697761944532484,0.0,1.7991267463384316e-18,0.0,20.0
0.9,0.1,0.315739734693674,0.3611661262933241,0.04542639159965012,0.04445024998706831,0.07999999999999999,0.193491496752364,0.035549750012931675,0.0,1.7991267463384316e-18,0.0,20.0
0.9,0.2,0.315739734693674,0.3611661262933241,0.04542639159965012,0.04730598885185469,0.07999999999999999,0.193491496752364,0.0326940111481453,0.0,1.7991267463384316e-18,0.0,20.0
0.0,0.05,0.3362346031670187,0.38808519232425354,0.05185058915723484,0.05312160823925509,0.08,0.2867777777777738,0.026878391760744913,0.0,1.7991267463384316e-18,0.0,40.0
0.0,0.1,0.3362346031670187,0.38808519232425354,0.05185058915723484,0.054228758169934416,0.08,0.2867777777777738,0.025771241830065586,0.0,1.7991267463384316e-18,0.0,40.0
0.0,0.2,0.3362346031670187,0.38808519232425354,0.05185058915723484,0.05644305803129307,0.08,0.2867777777777738,0.023556941968706932,0.0,1.7991267463384316e-18,0.0,40.0
0.18,0.05,0.33750752563992326,0.38807552517745514,0.05056799953753188,0.05275238208852858,0.08,0.2865486940245473,0.02724761791147142,0.0,1.7991267463384316e-18,0.0,40.0
0.18,0.1,0.33750752563992326,0.38807552517745514,0.05056799953753188,0.05386012920903649,0.08,0.2865486940245473,0.026139870790963513,0.0,1.7991267463384316e-18,0.0,40.0
0.18,0.2,0.33750752563992326,0.38807552517745514,0.05056799953753188,0.05607562345005228,0.08,0.2865486940245473,0.023924376549947723,0.0,1.7991267463384316e-18,0.0,40.0
0.36,0.05,0.3387965541430097,0.38804634019131357,0.04924978604830388,0.052379453358747635,0.08000000000000002,0.28631664377180865,0.02762054664125238,0.0,1.7991267463384316e-18,0.0,40.0
0.36,0.1,0.3387965541430097,0.38804634019131357,0.04924978604830388,0.05348784787012956,0.08000000000000002,0.28631664377180865,0.02651215212987046,0.0,1.7991267463384316e-18,0.0,40.0
0.36,0.2,0.3387965541430097,0.38804634019131357,0.04924978604830388,0.05570463689289343,0.08000000000000002,0.28631664377180865,0.024295363107106588,0.0,1.7991267463384316e-18,0.0,40.0
0.54,0.05,0.3401019959427227,0.38799733167250927,0.04789533572978655,0.05200273828657395,0.07999999999999999,0.2860815690224304,0.027997261713426036,0.0,1.7991267463384316e-18,0.0,40.0
0.54,0.1,0.3401019959427227,0.38799733167250927,0.04789533572978655,0.053111830923493586,0.07999999999999999,0.2860815690224304,0.026888169076506402,0.0,1.7991267463384316e-18,0.0,40.0
0.54,0.2,0.3401019959427227,0.38799733167250927,0.04789533572978655,0.05533001619733285,0.07999999999999999,0.2860815690224304,0.02466998380266714,0.0,1.7991267463384316e-18,0.0,40.0
0.72,0.05,0.34142416616115623,0.38792815345678944,0.04650398729563321,0.05162215107023461,0.08,0.2858434102574915,0.028377848929765394,0.0,1.7991267463384316e-18,0.0,40.0
0.72,0.1,0.34142416616115623,0.38792815345678944,0.04650398729563321,0.05273199312125062,0.08,0.2858434102574915,0.027268006878749383,0.0,1.7991267463384316e-18,0.0,40.0
0.72,0.2,0.34142416616115623,0.38792815345678944,0.04650398729563321,0.05495167722328263,0.08,0.2858434102574915,0.02504832277671737,0.0,1.7991267463384316e-18,0.0,40.0
0.9,0.05,0.34276338802834583,0.3878384186588092,0.045075030630463364,0.05123760379943631,0.08,0.2856021063860822,0.028762396200563693,0.0,1.7991267463384316e-18,0.0,40.0
0.9,0.1,0.34276338802834583,0.3878384186588092,0.045075030630463364,0.05234824712783911,0.08,0.2856021063860822,0.027651752872160894,0.0,1.7991267463384316e-18,0.0,40.0
0.9,0.2,0.34276338802834583,0.3878384186588092,0.045075030630463364,0.054569533784644686,0.08,0.2856021063860822,0.025430466215355316,0.0,1.7991267463384316e-18,0.0,40.0
